Angle (Degrees),ROI Area (Pixels),Smoothed ROI Area
0.0,288990.0,289019.4
0.99,289421.9348352785,289629.0
1.98,289811.0,290053.0
2.98,290300.0,290697.0
3.97,291091.0,291311.80000000005
4.96,292210.0,292109.6
5.95,293147.0,292742.80000000005
6.94,293800.0,293342.80000000005
7.93,293466.0,293869.4
8.93,294091.0,294363.8
9.92,294843.0,294832.0
10.91,295619.0,295501.8
11.9,296141.0,296104.60000000003
12.89,296815.0,296709.60000000003
13.89,297105.0,297208.6
14.88,297868.0,297394.4
15.87,298114.0,297700.0
16.86,298159.68634953466,297704.0
17.85,298343.0,297581.2
18.85,298086.05361205497,297602.80000000005
19.84,297865.1553996159,297666.2
20.83,298222.0,297413.4
21.82,297963.3323829222,297494.80000000005
22.81,297987.8766287487,297556.6
23.8,298184.2305953612,297367.60000000003
24.8,298184.2305953612,297374.2
25.79,297791.52266213624,297388.80000000005
26.78,297521.53595804406,297297.0
27.77,297152.0,297153.80000000005
28.76,297073.0,297003.0
29.76,296847.0,296745.0
30.75,296523.0,296447.4
31.74,296130.0,295864.2
32.73,295664.0,295428.2
33.72,294157.0,294805.6
34.72,293741.72210075345,293875.2
35.71,293410.0,292892.0
36.7,291478.0,292115.2
37.69,290748.0,291140.2
38.68,290273.0,290385.2
39.67,289792.0,289875.2
40.67,289635.0,289276.0
41.66,288928.0,288645.0
42.65,287752.0,288135.6
43.64,287118.0,287310.60000000003
44.63,287245.0,286552.6
45.63,285510.0,285886.6
46.62,285138.0,285311.2
47.61,284422.0,284398.60000000003
48.6,284241.0,283835.4
49.59,282682.0,283574.0
50.59,282694.0,283521.0
51.58,283831.0,283587.0
52.57,284157.0,284038.2
53.56,284571.0,284544.80000000005
54.55,284938.0,284880.4
55.54,285227.0,285215.0
56.54,285509.0,285770.4
57.53,285830.0,286069.4
58.52,286108.46164869255,286627.0
59.51,286433.0,287253.4
60.5,287212.9527108879,287896.0
61.5,288641.0,288338.80000000005
62.49,289043.0,289068.2
63.48,289562.0,289969.80000000005
64.47,290080.0,290900.8
65.46,292523.0,291667.80000000005
66.46,293296.0,292511.60000000003
67.45,292878.0,293355.80000000005
68.44,293781.0,293878.8
69.43,294301.0,294126.4
70.42,295138.0,294848.6
71.41,295533.4520460925,295473.0
72.41,296489.0,296087.60000000003
72.42,296903.0,296590.6
74.39,297374.0,297295.0
75.38,297653.0,297640.2
76.37,298056.0,297919.4
77.37,298215.0,297866.0
78.36,298299.0,297746.60000000003
79.35,298012.42087457527,297779.0
80.34,297914.243891269,297817.0
81.33,298218.0,297821.4
82.33,298405.0,297897.0
83.32,298321.0,297953.4
84.31,297485.0,297791.6
85.3,297338.0,297596.0
86.29,297409.0,297373.4
87.28,297427.0,297266.0
88.28,297208.0,297186.4
89.27,296948.0,296994.0
90.26,296940.0,296728.2
91.25,296447.0,296378.2
92.24,296098.0,295993.4
93.24,295458.0,295475.4
94.23,295024.0,294834.6
95.22,294350.0,294182.4
96.21,293243.0,293472.0
97.2,292837.0,292475.2
98.2,291906.0,291522.4
99.19,290040.0,290750.4
100.18,289586.0,289884.2
101.17,289383.0,289016.4
102.16,288506.0,288606.4
103.15,287567.0,288099.6
104.15,287990.0,287314.8
105.14,287052.0,286628.2
106.13,285459.0,286025.6
107.12,285073.0,285262.2
108.11,284554.0,284639.60000000003
109.11,284173.0,284596.80000000005
110.1,283939.0,284661.80000000005
111.09,284120.37773674104,284699.2
112.08,284316.7317033535,285129.2
113.07,284758.52812823164,285623.60000000003
114.07,285224.8687989363,285914.4
115.06,286411.0,286252.60000000003
116.05,286699.0,286810.6
117.04,287089.0,287090.2
118.03,287531.0,287636.2
119.02,287721.0,287999.60000000003
120.02,288072.0013148175,288651.4
121.01,288516.0,289301.2
122.0,290348.0,290022.80000000005
122.99,290780.0,290576.4
123.98,291329.0,291413.6
124.98,291909.0,292150.60000000003
125.97,292702.0,292921.2
126.96,294033.0,293760.0
127.95,294633.0,294326.2
128.94,295523.0,294902.80000000005
129.93,294740.0,295323.2
130.93,295585.0,295774.8
131.92,296135.0,296104.4
132.91,296891.0,296688.4
133.9,297171.0,297175.2
134.89,297660.0,297621.4
135.89,298019.0,297916.60000000003
136.88,298366.0,298169.2
137.87,298367.0,298326.4
138.86,298434.0,298404.4
139.85,298446.0,298408.6
140.85,298409.0,298430.0
141.84,298387.0,298459.4
142.83,298474.0,298498.80000000005
143.82,298581.0,298335.2
144.81,298643.0,298413.60000000003
145.8,298331.4960703206,298422.2
146.8,298779.0,298154.0
147.79,298517.0,298051.8
148.78,298380.5845619737,297898.4
149.77,298132.0,297608.4
150.76,296824.0,297096.4
151.76,297329.0,296943.80000000005
152.75,295957.0,296550.2
153.74,296477.0,296031.6
154.73,296164.0,295155.0
155.72,294231.0,294438.4
156.72,292946.0,291673.6
157.71,292374.0,290661.6
158.7,291729.09394297533,289925.2
159.69,291104.0,289411.60000000003
160.68,290549.0,288833.60000000003
161.67,290109.17371842224,288719.0
162.67,289484.0,288347.6
163.66,287880.0,288034.60000000003
164.65,287747.0,287653.60000000003
165.64,286984.0,286731.8
166.63,285473.0,285928.8
167.63,284875.0,285458.80000000005
168.62,284565.0,285197.80000000005
169.61,285397.0,285158.2
170.6,285679.0,285359.60000000003
171.59,285275.0,285675.0
172.59,285882.0,285941.0
173.58,286142.0,286148.60000000003
174.57,286727.0,286502.60000000003
175.56,286717.0,286819.0
176.55,287045.0,287368.60000000003
177.54,287464.0,287887.4
178.54,288890.0,288503.6
179.53,289321.0,289134.0
180.52,289798.0,289805.80000000005
181.51,290197.0,290529.6
182.5,290823.0,291075.80000000005
183.5,292509.0,291880.0
184.49,292052.0,292731.0
185.48,293819.0,293521.0
186.47,294452.0,294108.60000000003
187.46,294773.0,294942.60000000003
188.46,295447.0,295346.2
189.45,296222.0,295984.8
190.44,295837.0,296469.2
191.43,297645.0,296885.2
192.42,297195.0,297277.80000000005
193.41,297527.0,297765.4
194.41,298185.0,297988.4
195.4,298275.0,298342.2
196.39,298760.0,298602.8
197.38,298964.0,298772.2
198.37,298830.0,298894.80000000005
199.37,299032.0,298929.6
200.36,298888.0,298937.0
201.35,298934.0,298993.0
202.34,299001.0,299035.2
203.33,299110.0,299111.0
204.33,299243.0,299172.60000000003
205.32,299267.0,298961.0
206.31,299242.0,298950.80000000005
207.3,298994.19070763775,298634.2
208.29,299059.0,298247.4
209.28,297660.0,297792.2
210.28,297333.0,297537.0
211.27,296966.0,297199.2
212.26,296667.0,296785.4
213.25,297370.0,296296.6
214.24,295591.0,295777.0
215.24,294889.0,295060.6
216.23,294368.0,294017.2
217.22,293085.0,293248.60000000003
218.21,292153.0,292473.6
219.2,291748.0,291816.4
220.2,291014.0,290966.4
221.19,291082.0,290364.8
222.18,288835.0,289652.0
223.17,289145.0,288920.2
224.16,288184.0,287986.4
225.15,287355.0,287371.0
226.15,286413.0,286461.80000000005
227.14,285758.0,285704.0
228.13,284599.0,285293.4
229.12,284395.0,285111.4
230.11,285302.0,285043.2
231.11,285503.0,285338.4
232.1,285417.0,285493.4
233.09,286075.0,285761.60000000003
234.08,285170.0,286019.0
235.07,286643.0,286566.0
236.07,286790.0,287091.2
237.06,288152.0,287641.4
238.05,288701.0,287954.6
239.04,287921.0,288373.2
240.03,288209.0,288796.4
241.02,288883.0,289251.2
242.02,290268.0,290196.0
243.01,290975.0,291211.6
244.0,292645.0,292189.2
244.99,293287.0,292843.0
245.98,293771.0,293614.4
246.98,293537.0,294198.80000000005
247.97,294832.0,294820.60000000003
248.96,295567.0,295236.80000000005
249.95,296396.0,295824.60000000003
250.94,295852.0,296295.4
251.93,296476.0,296675.0
252.93,297186.0,297017.80000000005
253.92,297465.0,297485.0
254.91,298110.0,297916.4
255.9,298188.0,298251.2
256.89,298633.0,298501.80000000005
257.89,298860.0,298638.80000000005
258.88,298718.0,298746.4
259.87,298795.0,298557.6
260.86,298726.0,298576.8
261.85,298896.0137243315,298639.4
262.85,298956.0,298704.80000000005
263.84,299031.0,298789.2
264.83,299122.0,299083.8
265.82,299148.0,298855.0
266.81,298945.10221598466,298539.80000000005
267.8,297812.0,298193.2
268.8,297455.0,297768.80000000005
269.79,297389.0,297281.80000000005
270.78,297026.0,296969.4
271.77,296727.0,296875.2
272.76,296250.0,296455.4
273.76,296984.0,295991.4
274.75,295290.0,295499.4
275.74,294706.0,294927.4
276.73,294267.0,293958.6
277.72,293390.0,293252.2
278.72,292140.0,292571.80000000005
279.71,291758.0,291847.2
280.7,291304.0,290832.2
281.69,290644.0,290147.4
282.68,288315.0,289371.2
283.67,288716.0,288507.0
284.67,287877.0,287614.0
285.66,286983.0,287053.80000000005
286.65,286179.0,286464.80000000005
287.64,285514.0,286042.0
288.63,285771.0,285763.60000000003
288.69,285763.0,285635.0
289.63,285591.0,285656.2
290.62,285536.0,285750.4
291.61,285620.0,285920.6
293.59,286242.0,286129.2
294.59,286614.0,286654.2
295.58,286634.0,287165.2
296.57,288161.0,287441.0
297.56,288175.0,287968.4
298.55,287621.0,288563.0
299.54,289251.0,288762.6
300.54,289607.0,289250.0
301.53,289159.0,290033.2
302.52,290612.0,290757.6
303.51,291537.0,291364.80000000005
304.5,292873.0,292153.4
305.5,292643.0,293011.4
306.49,293102.0,293724.6
307.48,294902.0,294290.80000000005
308.47,295103.0,295046.80000000005
309.46,295704.0,295632.4
310.46,296423.0,295961.2
311.45,296030.0,296368.8
312.44,296546.0,296970.80000000005
313.43,297141.0,297274.80000000005
314.42,298184.2305953612,297718.8
315.41,297943.0,298086.8
316.41,298250.0,298366.8
317.4,298386.0,298363.4
318.39,298541.0,298478.0
319.38,298697.0,298584.60000000003
320.37,298516.0,298618.80000000005
321.37,298783.0,298698.2
322.36,298557.0,298726.6
323.35,298938.0,298572.4
324.34,298839.0,298571.80000000005
325.33,298896.0137243315,298402.6
326.33,298780.0,298347.4
327.32,298724.2040035456,298285.2
328.31,298662.0,298408.60000000003
329.3,298528.0,298240.60000000003
330.29,298362.0,298230.0
331.28,297940.0,297689.2
332.28,297658.0,297323.0
333.27,295958.0,296908.80000000005
334.26,296697.0,296435.8
335.25,296291.0,295898.80000000005
336.24,295575.0,295307.6
337.24,294973.0,294352.2
338.23,293002.0,293116.80000000005
339.22,291920.0,292017.60000000003
340.21,290114.0,291077.6
341.2,290079.0,290360.4
342.2,290273.0,289622.80000000005
343.19,289416.0,289115.80000000005
344.18,288232.0,288649.4
345.17,287579.0,288057.2
346.16,287747.0,287466.2
347.15,287312.0,286931.2
348.15,286461.0,286522.0
349.14,285557.0,286073.8
350.13,285533.0,285754.2
351.12,285506.0,285674.80000000005
352.11,285714.0,285896.6
353.11,286064.0,286392.2
354.1,286666.0,286707.6
355.09,288011.0,287210.2
356.08,287083.0,287447.80000000005
357.07,288227.0,287908.80000000005
358.07,287252.0,288104.6
359.06,288971.0,288702.60000000003
