Frame,Angle_deg,Count_0_90,Count_Offset,Difference,Ratio,Normalized_Diff
0,0,73944,74329,385,0.0025965617475872207,0.00438496583143508
1,1,73537,73967,430,0.002915175181689988,0.00489749430523918
2,2,73469,73525,56,0.00038096793066383665,0.0006385404789053592
3,3,73025,73368,343,0.0023430082039441777,0.003906605922551253
4,4,72707,73186,479,0.0032832281192380717,0.0054742857142857145
5,5,72527,72570,43,0.00029635347388298864,0.0004919908466819221
6,6,72053,72350,297,0.0020567439734631553,0.0034059633027522934
7,7,72065,72357,292,0.0020218526263311686,0.003348623853211009
8,8,71999,71834,165,0.001147163724597276,0.001896551724137931
9,9,71540,71566,26,0.00018168350733023072,0.00029953917050691244
10,10,71240,71359,119,0.0008345079558762684,0.001374133949191686
11,11,70932,71043,111,0.0007818277865821447,0.0012847222222222223
12,12,70675,70934,259,0.0018289797964818621,0.0030046403712296983
13,13,70364,70693,329,0.002332390452086745,0.003830034924330617
14,14,69881,70353,472,0.003365802872341943,0.0055269320843091335
15,15,69626,69700,74,0.0005311284325969309,0.0008705882352941177
16,16,69272,69284,12,8.660758105026127e-05,0.00014150943396226416
17,17,68846,68993,147,0.0010664615965002649,0.001739644970414201
18,18,68728,68660,68,0.0004949486126881533,0.0008076009501187648
19,19,68478,68281,197,0.0014404902053978166,0.0023480333730631704
20,20,67996,67875,121,0.0008905505957857085,0.0014473684210526317
21,21,67623,67464,159,0.0011770192542583668,0.001906474820143885
22,22,67266,67128,138,0.001026831554980133,0.0016626506024096386
23,23,66823,66801,22,0.0001646410824402802,0.00026570048309178745
24,24,65970,66334,364,0.0027512395694763575,0.0044174757281553395
25,25,65544,65882,338,0.0025717894480544183,0.004111922141119222
26,26,65122,64953,169,0.0012992504324428214,0.002068543451652387
27,27,64733,64472,261,0.0020200456638674973,0.0032103321033210334
28,28,64263,64093,170,0.0013244413973635826,0.0020935960591133003
29,29,63738,63497,241,0.001894132903682163,0.0029826732673267327
30,30,63283,63133,150,0.0011865586634603215,0.0018633540372670807
31,31,62803,62481,322,0.0025701605951278694,0.004009962640099627
32,32,62190,62127,63,0.0005067689857380729,0.0007875
33,33,61648,61593,55,0.00044628005290447173,0.0006900878293601004
34,34,60827,61033,206,0.0016904644674216314,0.0025977301387137453
35,35,60090,60447,357,0.0029617461858184625,0.004513274336283186
36,36,59517,59346,171,0.0014386310289997727,0.002178343949044586
37,37,59097,58852,245,0.0020771689459003467,0.003128991060025543
38,38,58473,58408,65,0.0005561211830836492,0.0008333333333333334
39,39,58074,57706,368,0.0031784418725168424,0.004736164736164736
40,40,57566,57028,538,0.004694835680751174,0.006941935483870967
41,41,56776,56661,115,0.001013778573128697,0.0014896373056994818
42,42,56286,55921,365,0.0032529164847112926,0.004746423927178153
43,43,55665,55259,406,0.0036601637156972342,0.005293350717079531
44,44,54448,54576,128,0.001174053419430584,0.0016775884665792922
45,45,53886,53987,101,0.0009362861883881972,0.0013306982872200264
46,46,53135,52898,237,0.002235153207020456,0.003134920634920635
47,47,52315,52064,251,0.0024046982630605775,0.0033377659574468084
48,48,51780,51432,348,0.0033717009650040693,0.00464
49,49,51173,50728,445,0.004366983640984878,0.005957161981258367
50,50,50419,49999,420,0.004182517078611404,0.00564516129032258
51,51,49533,49229,304,0.0030781069642170067,0.0041025641025641026
52,52,48741,48498,243,0.0024989973158917717,0.003292682926829268
53,53,48236,47765,471,0.004906198893761524,0.006399456521739131
54,54,47337,47035,302,0.0032001017250879497,0.0041200545702592085
55,55,45673,46131,458,0.004988889373012069,0.006299862448418157
56,56,44982,44442,540,0.006038647342995169,0.007458563535911602
57,57,44173,43699,474,0.0053942097596504,0.006574202496532594
58,58,43503,42978,525,0.006070697609879627,0.007311977715877437
59,59,42797,42359,438,0.005143501338719526,0.00611731843575419
60,60,42289,41942,347,0.00411962341655685,0.004873595505617978
61,61,41793,41553,240,0.0028795623065294073,0.0033802816901408453
62,62,41420,41195,225,0.0027234763662773104,0.0031824611032531826
63,63,41055,41020,35,0.00042643923240938164,0.0004971590909090909
64,64,40849,40701,148,0.0018148375229920294,0.002108262108262108
65,65,40438,40473,35,0.00043257406285919097,0.0005021520803443328
66,66,40326,40282,44,0.0005458515283842794,0.0006330935251798561
67,67,40125,39888,237,0.0029620186719658058,0.0034298118668596236
68,68,40001,39759,242,0.003034102306920762,0.003522561863173217
69,69,39873,39550,323,0.004066832025987435,0.00472913616398243
70,70,39599,39452,147,0.0018595590188612416,0.0021649484536082476
71,71,39528,39393,135,0.0017105713308244953,0.001997041420118343
72,72,39398,38873,525,0.006707465089241226,0.0078125
73,73,39179,38665,514,0.006602949488721032,0.007683109118086696
74,74,38804,38316,488,0.006327800829875519,0.007338345864661654
75,75,38577,38060,517,0.006746088703889766,0.007857142857142858
76,76,38671,37922,749,0.00977896152389905,0.011452599388379205
77,77,38610,38119,491,0.006399145042943346,0.00758887171561051
78,78,38865,38046,819,0.010648671841479112,0.012776911076443057
79,79,38601,38646,45,0.0005825468950250495,0.0007075471698113207
80,80,38977,38647,330,0.004251262496135216,0.0052297939778129954
81,81,38788,38620,168,0.002170318313352625,0.002688
82,82,38946,38935,11,0.00014124112427934927,0.0001774193548387097
83,83,38901,38888,13,0.00016711874429546595,0.00021172638436482084
84,84,39083,38953,130,0.0016658977907632374,0.002134646962233169
85,85,39193,39034,159,0.002032546307540875,0.00265
86,86,39326,39193,133,0.0016938575376660425,0.0022466216216216217
87,87,39413,39420,7,8.879530146004846e-05,0.00012006861063464837
88,88,39471,39702,231,0.0029176613239361906,0.0040034662045060655
89,89,39603,39813,210,0.0026443034149289816,0.0036842105263157894
